ID,Dist,Model,Parameter,Post_median,Post_mode,Post_SE,CI95_Low,CI95_Up,Majority_Opt
Pma5,ZIPoisson,FluctCorrOpt,theta,0.918,0.897,1.12,-1.07,3.26,FALSE
Pma5,ZIPoisson,FluctCorrOpt,theta_unstd,4.93,4.82,6.02,-5.76,17.5,FALSE
Pma5,ZIPoisson,FluctCorrOpt,sigma_theta,1.63,1.36,0.876,0.0213,3.41,FALSE
Pma5,ZIPoisson,FluctCorrOpt,sigma_theta_unstd,8.77,7.28,4.7,0.114,18.3,FALSE
Pma5,ZIPoisson,FluctCorrOpt,log_Wmax,1.89,1.89,0.0222,1.85,1.93,FALSE
Pma5,ZIPoisson,FluctCorrOpt,sigma_log_Wmax,0.11,0.108,0.0179,0.078,0.147,FALSE
Pma5,ZIPoisson,FluctCorrOpt,omega,7.9,7.52,2.2,5.34,12.9,FALSE
Pma5,ZIPoisson,FluctCorrOpt,phi,0.677,0.875,0.46,-0.483,0.985,FALSE
Pma5,ZIPoisson,FluctCorrOpt,p_zi,0.167,0.166,0.00529,0.157,0.177,FALSE
Pma5,ZIPoisson,FluctCorrOpt,sigma_ind,0.00778,0.00371,0.00692,3.45e-7,0.0224,FALSE
Pma5,ZIPoisson,FluctCorrOpt,beta,0.0116,0.012,0.00648,-8.14e-4,0.0245,FALSE
Pma5,ZIPoisson,FluctCorrOpt,sigma_beta,0.027,0.0304,0.00866,0.00712,0.0406,FALSE
Pma6,ZIPoisson,FluctCorrDir,b,-0.0361,-0.0341,0.0125,-0.061,-0.0122,TRUE
Pma6,ZIPoisson,FluctCorrDir,sigma_b,0.0585,0.0583,0.0119,0.0375,0.0839,TRUE
Pma6,ZIPoisson,FluctCorrDir,a,1.9,1.9,0.0266,1.84,1.95,TRUE
Pma6,ZIPoisson,FluctCorrDir,sigma_a,0.196,0.188,0.0216,0.157,0.241,TRUE
Pma6,ZIPoisson,FluctCorrDir,phi,0.179,0.176,0.219,-0.276,0.577,TRUE
Pma6,ZIPoisson,FluctCorrDir,p_zi,0.243,0.246,0.00613,0.231,0.255,TRUE
Pma6,ZIPoisson,FluctCorrDir,sigma_ind,0.0134,0.00485,0.0113,3.57e-5,0.0369,TRUE
Pma6,ZIPoisson,FluctCorrDir,beta,-0.0362,-0.0331,0.00732,-0.05,-0.0213,TRUE
Pma6,ZIPoisson,FluctCorrDir,sigma_beta,0.0569,0.0536,0.00968,0.0391,0.0764,TRUE
Pma6,ZIPoisson,FluctCorrOpt,theta,-0.61,-0.525,0.453,-1.58,0.19,TRUE
Pma6,ZIPoisson,FluctCorrOpt,theta_unstd,-3.39,-2.92,2.52,-8.77,1.06,TRUE
Pma6,ZIPoisson,FluctCorrOpt,sigma_theta,2.4,2.28,0.466,1.65,3.38,TRUE
Pma6,ZIPoisson,FluctCorrOpt,sigma_theta_unstd,13.3,12.7,2.59,9.15,18.8,TRUE
Pma6,ZIPoisson,FluctCorrOpt,log_Wmax,1.99,1.99,0.0252,1.94,2.04,TRUE
Pma6,ZIPoisson,FluctCorrOpt,sigma_log_Wmax,0.158,0.155,0.0209,0.119,0.2,TRUE
Pma6,ZIPoisson,FluctCorrOpt,omega,5.54,5.51,0.679,4.39,6.94,TRUE
Pma6,ZIPoisson,FluctCorrOpt,phi,0.0209,0.0321,0.204,-0.41,0.384,TRUE
Pma6,ZIPoisson,FluctCorrOpt,p_zi,0.242,0.241,0.00622,0.23,0.254,TRUE
Pma6,ZIPoisson,FluctCorrOpt,sigma_ind,0.0128,0.00149,0.0109,5e-6,0.0361,TRUE
Pma6,ZIPoisson,FluctCorrOpt,beta,-0.0222,-0.0208,0.0073,-0.0364,-0.00782,TRUE
Pma6,ZIPoisson,FluctCorrOpt,sigma_beta,0.0692,0.0703,0.00859,0.053,0.086,TRUE
Pma7,ZIPoisson,FluctCorrDir,b,-0.0855,-0.0849,0.0245,-0.133,-0.0412,FALSE
Pma7,ZIPoisson,FluctCorrDir,sigma_b,0.0312,0.00475,0.0291,3.78e-5,0.0936,FALSE
Pma7,ZIPoisson,FluctCorrDir,a,1.69,1.69,0.0408,1.61,1.77,FALSE
Pma7,ZIPoisson,FluctCorrDir,sigma_a,0.15,0.151,0.0385,0.0842,0.233,FALSE
Pma7,ZIPoisson,FluctCorrDir,phi,-0.173,-0.0827,0.452,-0.979,0.639,FALSE
Pma7,ZIPoisson,FluctCorrDir,p_zi,0.247,0.255,0.0164,0.216,0.28,FALSE
Pma7,ZIPoisson,FluctCorrDir,sigma_ind,0.0318,0.0172,0.0271,2.82e-6,0.0889,FALSE
Pma7,ZIPoisson,FluctCorrDir,beta,-0.0858,-0.0859,0.0202,-0.125,-0.0482,FALSE
Pma7,ZIPoisson,FluctCorrDir,sigma_beta,0.0283,0.0177,0.023,4e-5,0.0759,FALSE
Pma7,ZIPoisson,FluctCorrOpt,theta,-5.35,-3.84,5.26,-16.8,-0.383,FALSE
Pma7,ZIPoisson,FluctCorrOpt,theta_unstd,-75.9,-54.5,74.6,-238,-5.44,FALSE
Pma7,ZIPoisson,FluctCorrOpt,sigma_theta,0.755,0.104,0.74,0.00138,2.2,FALSE
Pma7,ZIPoisson,FluctCorrOpt,sigma_theta_unstd,10.7,1.47,10.5,0.0196,31.2,FALSE
Pma7,ZIPoisson,FluctCorrOpt,log_Wmax,1.92,1.86,0.269,1.67,2.52,FALSE
Pma7,ZIPoisson,FluctCorrOpt,sigma_log_Wmax,0.138,0.137,0.0474,0.0307,0.23,FALSE
Pma7,ZIPoisson,FluctCorrOpt,omega,8.31,6.89,2.73,4.46,14.2,FALSE
Pma7,ZIPoisson,FluctCorrOpt,phi,-0.347,-0.568,0.408,-0.977,0.462,FALSE
Pma7,ZIPoisson,FluctCorrOpt,p_zi,0.247,0.238,0.0158,0.214,0.276,FALSE
Pma7,ZIPoisson,FluctCorrOpt,sigma_ind,0.0338,0.00571,0.0273,2.25e-5,0.091,FALSE
Pma7,ZIPoisson,FluctCorrOpt,beta,-0.077,-0.0768,0.0205,-0.115,-0.036,FALSE
Pma7,ZIPoisson,FluctCorrOpt,sigma_beta,0.0121,0.00791,0.00963,0.00128,0.0331,FALSE
Pma8,ZIPoisson,FluctCorrDir,b,-0.0749,-0.0745,0.00616,-0.0879,-0.0635,TRUE
Pma8,ZIPoisson,FluctCorrDir,sigma_b,0.0332,0.0356,0.00748,0.0197,0.0478,TRUE
Pma8,ZIPoisson,FluctCorrDir,a,1.96,1.96,0.0245,1.92,2.02,TRUE
Pma8,ZIPoisson,FluctCorrDir,sigma_a,0.17,0.174,0.0185,0.136,0.209,TRUE
Pma8,ZIPoisson,FluctCorrDir,phi,-0.298,-0.381,0.3,-0.798,0.345,TRUE
Pma8,ZIPoisson,FluctCorrDir,p_zi,0.262,0.262,0.00397,0.254,0.27,TRUE
Pma8,ZIPoisson,FluctCorrDir,sigma_ind,0.00446,7.43e-4,0.00415,2.55e-6,0.0133,TRUE
Pma8,ZIPoisson,FluctCorrDir,beta,-0.0747,-0.074,0.0047,-0.0838,-0.0655,TRUE
Pma8,ZIPoisson,FluctCorrDir,sigma_beta,0.032,0.0316,0.00576,0.021,0.0435,TRUE
Pma8,ZIPoisson,FluctCorrOpt,theta,-12.1,-10.4,5.25,-24.1,-4.89,TRUE
Pma8,ZIPoisson,FluctCorrOpt,theta_unstd,-82.4,-70.6,35.7,-164,-33.3,TRUE
Pma8,ZIPoisson,FluctCorrOpt,sigma_theta,2.14,2,0.665,1.26,3.66,TRUE
Pma8,ZIPoisson,FluctCorrOpt,sigma_theta_unstd,14.6,13.6,4.52,8.57,24.9,TRUE
Pma8,ZIPoisson,FluctCorrOpt,log_Wmax,2.41,2.34,0.194,2.14,2.84,TRUE
Pma8,ZIPoisson,FluctCorrOpt,sigma_log_Wmax,0.054,0.0652,0.0268,3.12e-5,0.096,TRUE
Pma8,ZIPoisson,FluctCorrOpt,omega,12.6,11.7,2.42,8.66,18,TRUE
Pma8,ZIPoisson,FluctCorrOpt,phi,0.832,0.845,0.0925,0.644,0.972,TRUE
Pma8,ZIPoisson,FluctCorrOpt,p_zi,0.262,0.262,0.0039,0.255,0.27,TRUE
Pma8,ZIPoisson,FluctCorrOpt,sigma_ind,0.00461,7.11e-4,0.00423,1.44e-7,0.0139,TRUE
Pma8,ZIPoisson,FluctCorrOpt,beta,-0.0742,-0.0751,0.00423,-0.0821,-0.0657,TRUE
Pma8,ZIPoisson,FluctCorrOpt,sigma_beta,0.0112,0.0106,0.0037200000000000002,0.00504,0.0188,TRUE
Psa,ZIPoisson,FluctCorrDir,b,-0.167,-0.164,0.0204,-0.206,-0.128,FALSE
Psa,ZIPoisson,FluctCorrDir,sigma_b,0.0291,0.0139,0.0278,4.13e-5,0.0853,FALSE
Psa,ZIPoisson,FluctCorrDir,a,1.5,1.5,0.023,1.45,1.54,FALSE
Psa,ZIPoisson,FluctCorrDir,sigma_a,0.0647,0.0601,0.0264,0.0133,0.12,FALSE
Psa,ZIPoisson,FluctCorrDir,phi,-0.387,-0.447,0.42,-0.988,0.453,FALSE
Psa,ZIPoisson,FluctCorrDir,p_zi,0.0632,0.0593,0.00867,0.0469,0.0807,FALSE
Psa,ZIPoisson,FluctCorrDir,sigma_ind,0.0207,0.00997,0.0181,3.65e-5,0.0592,FALSE
Psa,ZIPoisson,FluctCorrDir,beta,-0.167,-0.164,0.0188,-0.204,-0.132,FALSE
Psa,ZIPoisson,FluctCorrDir,sigma_beta,0.0262,0.021,0.0199,2.24e-5,0.0656,FALSE
Psa,ZIPoisson,FluctCorrOpt,theta,-13.8,-9.6,9.69,-35.4,-3.6,FALSE
Psa,ZIPoisson,FluctCorrOpt,theta_unstd,-125,-86.9,87.7,-320,-32.5,FALSE
Psa,ZIPoisson,FluctCorrOpt,sigma_theta,0.352,0.312,0.248,9.2e-5,0.809,FALSE
Psa,ZIPoisson,FluctCorrOpt,sigma_theta_unstd,3.19,2.82,2.25,8.32e-4,7.32,FALSE
Psa,ZIPoisson,FluctCorrOpt,log_Wmax,2.59,2.33,0.865,1.75,4.54,FALSE
Psa,ZIPoisson,FluctCorrOpt,sigma_log_Wmax,0.0435,0.0438,0.0298,3.74e-5,0.0972,FALSE
Psa,ZIPoisson,FluctCorrOpt,omega,9.29,8.92,2.58,5.44,15.1,FALSE
Psa,ZIPoisson,FluctCorrOpt,phi,-0.512,-0.743,0.377,-0.984,0.322,FALSE
Psa,ZIPoisson,FluctCorrOpt,p_zi,0.0631,0.0649,0.00858,0.0477,0.0806,FALSE
Psa,ZIPoisson,FluctCorrOpt,sigma_ind,0.0207,0.00717,0.0179,5.5e-6,0.0592,FALSE
Psa,ZIPoisson,FluctCorrOpt,beta,-0.157,-0.162,0.0189,-0.195,-0.122,FALSE
Psa,ZIPoisson,FluctCorrOpt,sigma_beta,0.00434,0.00342,0.00321,7.98e-4,0.0114,FALSE
Rta,Binom,FluctCorrDir,b,-0.501,-0.482,0.0935,-0.687,-0.323,TRUE
Rta,Binom,FluctCorrDir,sigma_b,0.317,0.305,0.145,0.0464,0.596,TRUE
Rta,Binom,FluctCorrDir,a,-0.229,-0.195,0.171,-0.576,0.0971,TRUE
Rta,Binom,FluctCorrDir,sigma_a,1.01,1.04,0.145,0.748,1.31,TRUE
Rta,Binom,FluctCorrDir,phi,-0.627,-0.78,0.32,-0.989,0.111,TRUE
Rta,Binom,FluctCorrDir,sigma_ind,0.235,0.0543,0.162,7.32e-4,0.542,TRUE
Rta,Binom,FluctCorrDir,beta,-0.249,-0.248,0.0418,-0.335,-0.172,TRUE
Rta,Binom,FluctCorrDir,sigma_beta,0.194,0.214,0.0493,0.102,0.294,TRUE
Rta,Binom,FluctCorrOpt,theta,-2.07,-1.72,0.729,-3.68,-1,TRUE
Rta,Binom,FluctCorrOpt,theta_unstd,-17.8,-14.8,6.27,-31.7,-8.63,TRUE
Rta,Binom,FluctCorrOpt,sigma_theta,0.65,0.438,0.518,4.77e-5,1.73,TRUE
Rta,Binom,FluctCorrOpt,sigma_theta_unstd,5.59,3.76,4.45,4.1e-4,14.8,TRUE
Rta,Binom,FluctCorrOpt,log_Wmax,0.663,0.502,0.422,0.0032,1.64,TRUE
Rta,Binom,FluctCorrOpt,sigma_log_Wmax,1.31,1.31,0.333,0.629,2.02,TRUE
Rta,Binom,FluctCorrOpt,omega,2.77,2.74,0.553,1.86,3.92,TRUE
Rta,Binom,FluctCorrOpt,phi,-0.321,-0.699,0.435,-0.988,0.479,TRUE
Rta,Binom,FluctCorrOpt,sigma_ind,0.35,0.321,0.27,2.09e-4,0.885,TRUE
Rta,Binom,FluctCorrOpt,beta,-0.221,-0.229,0.0395,-0.301,-0.145,TRUE
Rta,Binom,FluctCorrOpt,sigma_beta,0.0987,0.0821,0.0431,0.0331,0.188,TRUE
Thu,Poisson,FluctCorrDir,b,0.00624,0.00648,0.0477,-0.0856,0.101,TRUE
Thu,Poisson,FluctCorrDir,sigma_b,0.143,0.119,0.064,0.0262,0.269,TRUE
Thu,Poisson,FluctCorrDir,a,-0.781,-0.767,0.145,-1.06,-0.483,TRUE
Thu,Poisson,FluctCorrDir,sigma_a,0.683,0.685,0.117,0.505,0.948,TRUE
Thu,Poisson,FluctCorrDir,phi,-0.325,-0.388,0.373,-0.978,0.368,TRUE
Thu,Poisson,FluctCorrDir,sigma_ind,0.211,0.208,0.0925,0.00528,0.344,TRUE
Thu,Poisson,FluctCorrDir,beta,0.00611,0.0244,0.0386,-0.0694,0.0802,TRUE
Thu,Poisson,FluctCorrDir,sigma_beta,0.134,0.145,0.0471,0.0441,0.234,TRUE
Thu,Poisson,FluctCorrOpt,theta,-1.7,-2.11,2.66,-6.7,4.12,TRUE
Thu,Poisson,FluctCorrOpt,theta_unstd,-27,-33.6,42.3,-107,65.5,TRUE
Thu,Poisson,FluctCorrOpt,sigma_theta,6.76,5.99,2.89,2.2,13.4,TRUE
Thu,Poisson,FluctCorrOpt,sigma_theta_unstd,108,95.3,45.9,34.9,213,TRUE
Thu,Poisson,FluctCorrOpt,log_Wmax,-0.207,-0.173,0.208,-0.626,0.185,TRUE
Thu,Poisson,FluctCorrOpt,sigma_log_Wmax,0.48,0.413,0.152,0.228,0.805,TRUE
Thu,Poisson,FluctCorrOpt,omega,6.48,5.46,2.17,3.65,11.3,TRUE
Thu,Poisson,FluctCorrOpt,phi,-0.439,-0.659,0.33,-0.958,0.245,TRUE
Thu,Poisson,FluctCorrOpt,sigma_ind,0.207,0.25,0.0907,0.00618,0.342,TRUE
Thu,Poisson,FluctCorrOpt,beta,-0.0455,-0.0595,0.0408,-0.122,0.0434,TRUE
Thu,Poisson,FluctCorrOpt,sigma_beta,0.144,0.135,0.0525,0.0341,0.243,TRUE
Tme1,Poisson,FluctCorrDir,b,-0.312,-0.307,0.041,-0.392,-0.231,TRUE
Tme1,Poisson,FluctCorrDir,sigma_b,0.0673,0.0395,0.0603,6.09e-7,0.185,TRUE
Tme1,Poisson,FluctCorrDir,a,0.418,0.45,0.0924,0.233,0.599,TRUE
Tme1,Poisson,FluctCorrDir,sigma_a,0.35,0.346,0.0839,0.222,0.533,TRUE
Tme1,Poisson,FluctCorrDir,phi,-0.384,-0.601,0.434,-0.988,0.516,TRUE
Tme1,Poisson,FluctCorrDir,sigma_ind,0.0701,0.00424,0.0549,6.82e-6,0.179,TRUE
Tme1,Poisson,FluctCorrDir,beta,-0.311,-0.32,0.0374,-0.384,-0.239,TRUE
Tme1,Poisson,FluctCorrDir,sigma_beta,0.0618,0.0371,0.0426,5.74e-7,0.143,TRUE
Tme1,Poisson,FluctCorrOpt,theta,-1.59,-1.61,0.591,-2.81,-0.642,TRUE
Tme1,Poisson,FluctCorrOpt,theta_unstd,-11.9,-12.1,4.43,-21,-4.81,TRUE
Tme1,Poisson,FluctCorrOpt,sigma_theta,1.23,1.16,0.382,0.713,1.97,TRUE
Tme1,Poisson,FluctCorrOpt,sigma_theta_unstd,9.19,8.69,2.86,5.34,14.7,TRUE
Tme1,Poisson,FluctCorrOpt,log_Wmax,0.774,0.748,0.0814,0.63,0.936,TRUE
Tme1,Poisson,FluctCorrOpt,sigma_log_Wmax,0.0851,0.0395,0.0644,3.52e-5,0.211,TRUE
Tme1,Poisson,FluctCorrOpt,omega,2.31,2.21,0.349,1.77,3.07,TRUE
Tme1,Poisson,FluctCorrOpt,phi,-0.312,-0.305,0.269,-0.826,0.206,TRUE
Tme1,Poisson,FluctCorrOpt,sigma_ind,0.0594,0.031,0.0512,1.95e-7,0.169,TRUE
Tme1,Poisson,FluctCorrOpt,beta,-0.248,-0.248,0.0323,-0.31,-0.185,TRUE
Tme1,Poisson,FluctCorrOpt,sigma_beta,0.132,0.128,0.0311,0.0743,0.197,TRUE
Tme2,Poisson,FluctCorrDir,b,-0.342,-0.338,0.056,-0.456,-0.245,FALSE
Tme2,Poisson,FluctCorrDir,sigma_b,0.118,0.105,0.0758,6.41e-5,0.258,FALSE
Tme2,Poisson,FluctCorrDir,a,0.116,0.0692,0.154,-0.203,0.408,FALSE
Tme2,Poisson,FluctCorrDir,sigma_a,0.555,0.534,0.13,0.341,0.84,FALSE
Tme2,Poisson,FluctCorrDir,phi,-0.177,-0.196,0.411,-0.921,0.605,FALSE
Tme2,Poisson,FluctCorrDir,sigma_ind,0.23,0.233,0.0683,0.0833,0.361,FALSE
Tme2,Poisson,FluctCorrDir,beta,-0.346,-0.331,0.0414,-0.432,-0.27,FALSE
Tme2,Poisson,FluctCorrDir,sigma_beta,0.106,0.101,0.0542,6.96e-5,0.199,FALSE
Tme2,Poisson,FluctCorrOpt,theta,-7.86,-4.69,10.8,-34.6,-1.08,FALSE
Tme2,Poisson,FluctCorrOpt,theta_unstd,-75.1,-44.9,103,-331,-10.3,FALSE
Tme2,Poisson,FluctCorrOpt,sigma_theta,1.72,1.82,0.63,0.225,2.96,FALSE
Tme2,Poisson,FluctCorrOpt,sigma_theta_unstd,16.4,17.4,6.02,2.15,28.3,FALSE
Tme2,Poisson,FluctCorrOpt,log_Wmax,1.35,0.845,1.77,0.476,5.7,FALSE
Tme2,Poisson,FluctCorrOpt,sigma_log_Wmax,0.151,0.0308,0.172,2.32e-4,0.55,FALSE
Tme2,Poisson,FluctCorrOpt,omega,5.2,4.47,2.21,2.91,10.6,FALSE
Tme2,Poisson,FluctCorrOpt,phi,0.187,0.278,0.333,-0.501,0.812,FALSE
Tme2,Poisson,FluctCorrOpt,sigma_ind,0.245,0.25,0.0662,0.104,0.366,FALSE
Tme2,Poisson,FluctCorrOpt,beta,-0.284,-0.289,0.039,-0.359,-0.205,FALSE
Tme2,Poisson,FluctCorrOpt,sigma_beta,0.0541,0.029,0.0387,0.00309,0.133,FALSE
Uco,Poisson,FluctCorrDir,b,-0.114,-0.112,0.0545,-0.211,-0.00845,FALSE
Uco,Poisson,FluctCorrDir,sigma_b,0.0725,0.00962,0.0643,9.69e-5,0.203,FALSE
Uco,Poisson,FluctCorrDir,a,0.102,0.125,0.111,-0.122,0.308,FALSE
Uco,Poisson,FluctCorrDir,sigma_a,0.454,0.434,0.0994,0.285,0.658,FALSE
Uco,Poisson,FluctCorrDir,phi,-0.152,-0.607,0.482,-0.981,0.717,FALSE
Uco,Poisson,FluctCorrDir,sigma_ind,0.165,0.205,0.081,2.24e-4,0.292,FALSE
Uco,Poisson,FluctCorrDir,beta,-0.114,-0.101,0.0424,-0.195,-0.0303,FALSE
Uco,Poisson,FluctCorrDir,sigma_beta,0.0676,0.00549,0.0517,8.08e-5,0.171,FALSE
Uco,Poisson,FluctCorrOpt,theta,-5.65,-4,5.13,-16.8,1.22,FALSE
Uco,Poisson,FluctCorrOpt,theta_unstd,-24.6,-17.4,22.4,-73.2,5.32,FALSE
Uco,Poisson,FluctCorrOpt,sigma_theta,4.07,3.72,2.36,0.00135,8.71,FALSE
Uco,Poisson,FluctCorrOpt,sigma_theta_unstd,17.7,16.2,10.3,0.00591,38,FALSE
Uco,Poisson,FluctCorrOpt,log_Wmax,0.563,0.515,0.326,0.19,1.2,FALSE
Uco,Poisson,FluctCorrOpt,sigma_log_Wmax,0.196,0.198,0.146,1.67e-4,0.494,FALSE
Uco,Poisson,FluctCorrOpt,omega,7.86,6.93,2.44,4.32,13.2,FALSE
Uco,Poisson,FluctCorrOpt,phi,0.0759,0.158,0.341,-0.619,0.719,FALSE
Uco,Poisson,FluctCorrOpt,sigma_ind,0.165,0.2,0.0821,2.03e-4,0.294,FALSE
Uco,Poisson,FluctCorrOpt,beta,-0.0937,-0.09,0.0411,-0.168,-0.00745,FALSE
Uco,Poisson,FluctCorrOpt,sigma_beta,0.0637,0.0555,0.0389,0.00626,0.146,FALSE
